Date,State,Peak_Load_MW,Base_Load_MW,Industrial_%,Residential_%,EV_Load_MW,Temperature,Demand_Growth_%
2020-01-01 0:00:00,Maharashtra,5353,3747.1,48,55,200,18,0
2020-01-01 0:00:00,Gujarat,4344,3040.8,49,47,200,19,0
2020-01-01 0:00:00,Tamil Nadu,4860,3402,37,49,200,27,0
2020-01-01 0:00:00,Karnataka,4146,2902.2,48,43,200,20,0
2020-01-01 0:00:00,Rajasthan,3393,2375.1,46,52,200,30,0
2020-01-02 0:00:00,Maharashtra,5458.16,3820.71,41,60,200.08,27,0.04
2020-01-02 0:00:00,Gujarat,4483.8,3138.66,49,53,200.08,41,0.04
2020-01-02 0:00:00,Tamil Nadu,4912.98,3439.09,48,49,200.08,37,0.04
2020-01-02 0:00:00,Karnataka,4143.62,2900.53,45,49,200.08,16,0.04
2020-01-02 0:00:00,Rajasthan,3591.44,2514.01,47,40,200.08,18,0.04
2020-01-03 0:00:00,Maharashtra,5251.32,3675.92,48,48,200.16,17,0.08
2020-01-03 0:00:00,Gujarat,4746.6,3322.62,45,47,200.16,45,0.08
2020-01-03 0:00:00,Tamil Nadu,4748.96,3324.27,45,60,200.16,27,0.08
2020-01-03 0:00:00,Karnataka,3850.24,2695.17,37,54,200.16,29,0.08
2020-01-03 0:00:00,Rajasthan,3491.88,2444.32,48,43,200.16,25,0.08
2020-01-04 0:00:00,Maharashtra,5253.48,3677.44,41,53,200.24,33,0.12
2020-01-04 0:00:00,Gujarat,4301.4,3010.98,46,47,200.24,18,0.12
2020-01-04 0:00:00,Tamil Nadu,4851.94,3396.36,46,56,200.24,27,0.12
2020-01-04 0:00:00,Karnataka,4218.86,2953.2,50,44,200.24,15,0.12
2020-01-04 0:00:00,Rajasthan,3499.32,2449.52,41,45,200.24,17,0.12
2020-01-05 0:00:00,Maharashtra,5466.64,3826.65,46,50,200.32,18,0.16
2020-01-05 0:00:00,Gujarat,4413.2,3089.24,40,44,200.32,41,0.16
2020-01-05 0:00:00,Tamil Nadu,5088.92,3562.24,43,52,200.32,33,0.16
2020-01-05 0:00:00,Karnataka,4180.48,2926.34,41,51,200.32,20,0.16
2020-01-05 0:00:00,Rajasthan,3419.76,2393.83,42,58,200.32,39,0.16
2020-01-06 0:00:00,Maharashtra,5236.8,3665.76,44,42,200.4,16,0.2
2020-01-06 0:00:00,Gujarat,4633,3243.1,44,43,200.4,34,0.2
2020-01-06 0:00:00,Tamil Nadu,5077.9,3554.53,44,47,200.4,17,0.2
2020-01-06 0:00:00,Karnataka,4173.1,2921.17,41,50,200.4,15,0.2
2020-01-06 0:00:00,Rajasthan,3752.2,2626.54,41,57,200.4,28,0.2
2020-01-07 0:00:00,Maharashtra,5521.96,3865.37,50,42,200.48,18,0.24
2020-01-07 0:00:00,Gujarat,4375.8,3063.06,41,55,200.48,24,0.24
2020-01-07 0:00:00,Tamil Nadu,5000.88,3500.62,40,60,200.48,15,0.24
2020-01-07 0:00:00,Karnataka,3946.72,2762.7,46,40,200.48,19,0.24
2020-01-07 0:00:00,Rajasthan,3664.64,2565.25,40,51,200.48,20,0.24
2020-01-08 0:00:00,Maharashtra,5656.12,3959.28,47,41,200.56,28,0.28
2020-01-08 0:00:00,Gujarat,4359.6,3051.72,42,48,200.56,27,0.28
2020-01-08 0:00:00,Tamil Nadu,4871.86,3410.3,46,50,200.56,25,0.28
2020-01-08 0:00:00,Karnataka,4130.34,2891.24,36,40,200.56,43,0.28
2020-01-08 0:00:00,Rajasthan,3811.08,2667.76,42,45,200.56,37,0.28
2020-01-09 0:00:00,Maharashtra,5421.28,3794.9,45,47,200.64,40,0.32
2020-01-09 0:00:00,Gujarat,4273.4,2991.38,43,48,200.64,28,0.32
2020-01-09 0:00:00,Tamil Nadu,4732.84,3312.99,40,53,200.64,23,0.32
2020-01-09 0:00:00,Karnataka,3875.96,2713.17,38,49,200.64,15,0.32
2020-01-09 0:00:00,Rajasthan,3494.52,2446.16,39,41,200.64,43,0.32
2020-01-10 0:00:00,Maharashtra,5439.44,3807.61,39,48,200.72,25,0.36
2020-01-10 0:00:00,Gujarat,4599.2,3219.44,44,42,200.72,23,0.36
2020-01-10 0:00:00,Tamil Nadu,5030.82,3521.57,35,60,200.72,37,0.36
2020-01-10 0:00:00,Karnataka,4068.58,2848.01,37,58,200.72,43,0.36
2020-01-10 0:00:00,Rajasthan,3404.96,2383.47,44,51,200.72,18,0.36
2020-01-11 0:00:00,Maharashtra,5440.6,3808.42,45,40,200.8,32,0.4
2020-01-11 0:00:00,Gujarat,4485,3139.5,43,50,200.8,35,0.4
