Date,Plant_ID,State,Generation_MWh
2020-01-01 0:00:00,P1,Maharashtra,41685.75
2020-01-01 0:00:00,P2,Maharashtra,14970.73
2020-01-01 0:00:00,P3,Maharashtra,21018.36
2020-01-01 0:00:00,P4,Maharashtra,13888.64
2020-01-01 0:00:00,P5,Gujarat,36559.92
2020-01-01 0:00:00,P6,Gujarat,21439.1
2020-01-01 0:00:00,P7,Gujarat,20402.51
2020-01-01 0:00:00,P8,Gujarat,14045.98
2020-01-01 0:00:00,P9,Tamil Nadu,37762.77
2020-01-01 0:00:00,P10,Tamil Nadu,19288.25
2020-01-01 0:00:00,P11,Tamil Nadu,18553.75
2020-01-01 0:00:00,P12,Tamil Nadu,13389.78
2020-01-01 0:00:00,P13,Karnataka,38796.28
2020-01-01 0:00:00,P14,Karnataka,16288.96
2020-01-01 0:00:00,P15,Karnataka,20130.57
2020-01-01 0:00:00,P16,Karnataka,13676.07
2020-01-01 0:00:00,P17,Rajasthan,32658.63
2020-01-01 0:00:00,P18,Rajasthan,17633.98
2020-01-01 0:00:00,P19,Rajasthan,19193.03
2020-01-01 0:00:00,P20,Rajasthan,14117.72
2020-01-02 0:00:00,P1,Maharashtra,42439.62
2020-01-02 0:00:00,P2,Maharashtra,19574.29
2020-01-02 0:00:00,P3,Maharashtra,20593.54
2020-01-02 0:00:00,P4,Maharashtra,12650.8
2020-01-02 0:00:00,P5,Gujarat,32303.91
2020-01-02 0:00:00,P6,Gujarat,14600.14
2020-01-02 0:00:00,P7,Gujarat,20408.54
2020-01-02 0:00:00,P8,Gujarat,13981.8
2020-01-02 0:00:00,P9,Tamil Nadu,31391.01
2020-01-02 0:00:00,P10,Tamil Nadu,21587.54
2020-01-02 0:00:00,P11,Tamil Nadu,20238.28
2020-01-02 0:00:00,P12,Tamil Nadu,12278.92
2020-01-02 0:00:00,P13,Karnataka,30360.03
2020-01-02 0:00:00,P14,Karnataka,16721.02
2020-01-02 0:00:00,P15,Karnataka,19698.44
2020-01-02 0:00:00,P16,Karnataka,12994.25
2020-01-02 0:00:00,P17,Rajasthan,34759.19
2020-01-02 0:00:00,P18,Rajasthan,20897.17
2020-01-02 0:00:00,P19,Rajasthan,20416.71
2020-01-02 0:00:00,P20,Rajasthan,13706.49
2020-01-03 0:00:00,P1,Maharashtra,41612.29
2020-01-03 0:00:00,P2,Maharashtra,16260.21
2020-01-03 0:00:00,P3,Maharashtra,18555.19
2020-01-03 0:00:00,P4,Maharashtra,12199.13
2020-01-03 0:00:00,P5,Gujarat,35929.18
2020-01-03 0:00:00,P6,Gujarat,18232.46
2020-01-03 0:00:00,P7,Gujarat,19344.45
2020-01-03 0:00:00,P8,Gujarat,13277.88
2020-01-03 0:00:00,P9,Tamil Nadu,39441.91
2020-01-03 0:00:00,P10,Tamil Nadu,17063.74
2020-01-03 0:00:00,P11,Tamil Nadu,20296.03
2020-01-03 0:00:00,P12,Tamil Nadu,11971.72
2020-01-03 0:00:00,P13,Karnataka,40870.07
2020-01-03 0:00:00,P14,Karnataka,17298.92
2020-01-03 0:00:00,P15,Karnataka,19439.18
2020-01-03 0:00:00,P16,Karnataka,14026.97
2020-01-03 0:00:00,P17,Rajasthan,42321.42
2020-01-03 0:00:00,P18,Rajasthan,16157.19
2020-01-03 0:00:00,P19,Rajasthan,20102.12
2020-01-03 0:00:00,P20,Rajasthan,12037.1
2020-01-04 0:00:00,P1,Maharashtra,36452.22
2020-01-04 0:00:00,P2,Maharashtra,16202.98
2020-01-04 0:00:00,P3,Maharashtra,19810.43
2020-01-04 0:00:00,P4,Maharashtra,13411.71
2020-01-04 0:00:00,P5,Gujarat,37820.68
2020-01-04 0:00:00,P6,Gujarat,15597.51
2020-01-04 0:00:00,P7,Gujarat,19506.85
2020-01-04 0:00:00,P8,Gujarat,14388.14
2020-01-04 0:00:00,P9,Tamil Nadu,39004.36
2020-01-04 0:00:00,P10,Tamil Nadu,20279.66
2020-01-04 0:00:00,P11,Tamil Nadu,19397.6
2020-01-04 0:00:00,P12,Tamil Nadu,14175.66
2020-01-04 0:00:00,P13,Karnataka,30867.18
2020-01-04 0:00:00,P14,Karnataka,18888.1
2020-01-04 0:00:00,P15,Karnataka,20130.1
2020-01-04 0:00:00,P16,Karnataka,13139.62
2020-01-04 0:00:00,P17,Rajasthan,42591.82
2020-01-04 0:00:00,P18,Rajasthan,20055.22
2020-01-04 0:00:00,P19,Rajasthan,21358.99
2020-01-04 0:00:00,P20,Rajasthan,12575.96
2020-01-05 0:00:00,P1,Maharashtra,37032.85
2020-01-05 0:00:00,P2,Maharashtra,17160.44
2020-01-05 0:00:00,P3,Maharashtra,20289.98
2020-01-05 0:00:00,P4,Maharashtra,13666.15
