Date,Plant_Type,State,Generation_Factor
2020-01-01 0:00:00,Coal,Maharashtra,0.82
2020-01-01 0:00:00,Gas,Maharashtra,0.664
2020-01-01 0:00:00,Solar,Maharashtra,0.6
2020-01-01 0:00:00,Wind,Maharashtra,0.5
2020-01-01 0:00:00,Coal,Gujarat,0.759
2020-01-01 0:00:00,Gas,Gujarat,0.889
2020-01-01 0:00:00,Solar,Gujarat,0.6
2020-01-01 0:00:00,Wind,Gujarat,0.5
2020-01-01 0:00:00,Coal,Tamil Nadu,0.781
2020-01-01 0:00:00,Gas,Tamil Nadu,0.69
2020-01-01 0:00:00,Solar,Tamil Nadu,0.6
2020-01-01 0:00:00,Wind,Tamil Nadu,0.5
2020-01-01 0:00:00,Coal,Karnataka,0.69
2020-01-01 0:00:00,Gas,Karnataka,0.731
2020-01-01 0:00:00,Solar,Karnataka,0.6
2020-01-01 0:00:00,Wind,Karnataka,0.5
2020-01-01 0:00:00,Coal,Rajasthan,0.734
2020-01-01 0:00:00,Gas,Rajasthan,0.807
2020-01-01 0:00:00,Solar,Rajasthan,0.6
2020-01-01 0:00:00,Wind,Rajasthan,0.5
2020-01-02 0:00:00,Coal,Maharashtra,0.893
2020-01-02 0:00:00,Gas,Maharashtra,0.725
2020-01-02 0:00:00,Solar,Maharashtra,0.6
2020-01-02 0:00:00,Wind,Maharashtra,0.5
2020-01-02 0:00:00,Coal,Gujarat,0.738
2020-01-02 0:00:00,Gas,Gujarat,0.655
2020-01-02 0:00:00,Solar,Gujarat,0.6
2020-01-02 0:00:00,Wind,Gujarat,0.5
2020-01-02 0:00:00,Coal,Tamil Nadu,0.661
2020-01-02 0:00:00,Gas,Tamil Nadu,0.792
2020-01-02 0:00:00,Solar,Tamil Nadu,0.6
2020-01-02 0:00:00,Wind,Tamil Nadu,0.5
2020-01-02 0:00:00,Coal,Karnataka,0.864
2020-01-02 0:00:00,Gas,Karnataka,0.759
2020-01-02 0:00:00,Solar,Karnataka,0.6
2020-01-02 0:00:00,Wind,Karnataka,0.5
2020-01-02 0:00:00,Coal,Rajasthan,0.896
2020-01-02 0:00:00,Gas,Rajasthan,0.786
2020-01-02 0:00:00,Solar,Rajasthan,0.6
2020-01-02 0:00:00,Wind,Rajasthan,0.5
2020-01-03 0:00:00,Coal,Maharashtra,0.694
2020-01-03 0:00:00,Gas,Maharashtra,0.655
2020-01-03 0:00:00,Solar,Maharashtra,0.6
2020-01-03 0:00:00,Wind,Maharashtra,0.5
2020-01-03 0:00:00,Coal,Gujarat,0.859
2020-01-03 0:00:00,Gas,Gujarat,0.82
2020-01-03 0:00:00,Solar,Gujarat,0.6
2020-01-03 0:00:00,Wind,Gujarat,0.5
2020-01-03 0:00:00,Coal,Tamil Nadu,0.84
2020-01-03 0:00:00,Gas,Tamil Nadu,0.772
2020-01-03 0:00:00,Solar,Tamil Nadu,0.6
2020-01-03 0:00:00,Wind,Tamil Nadu,0.5
2020-01-03 0:00:00,Coal,Karnataka,0.821
2020-01-03 0:00:00,Gas,Karnataka,0.763
2020-01-03 0:00:00,Solar,Karnataka,0.6
2020-01-03 0:00:00,Wind,Karnataka,0.5
2020-01-03 0:00:00,Coal,Rajasthan,0.707
2020-01-03 0:00:00,Gas,Rajasthan,0.863
2020-01-03 0:00:00,Solar,Rajasthan,0.6
2020-01-03 0:00:00,Wind,Rajasthan,0.5
2020-01-04 0:00:00,Coal,Maharashtra,0.784
2020-01-04 0:00:00,Gas,Maharashtra,0.83
2020-01-04 0:00:00,Solar,Maharashtra,0.6
2020-01-04 0:00:00,Wind,Maharashtra,0.5
2020-01-04 0:00:00,Coal,Gujarat,0.692
2020-01-04 0:00:00,Gas,Gujarat,0.844
2020-01-04 0:00:00,Solar,Gujarat,0.6
2020-01-04 0:00:00,Wind,Gujarat,0.5
2020-01-04 0:00:00,Coal,Tamil Nadu,0.679
2020-01-04 0:00:00,Gas,Tamil Nadu,0.703
2020-01-04 0:00:00,Solar,Tamil Nadu,0.6
2020-01-04 0:00:00,Wind,Tamil Nadu,0.5
2020-01-04 0:00:00,Coal,Karnataka,0.731
2020-01-04 0:00:00,Gas,Karnataka,0.81
2020-01-04 0:00:00,Solar,Karnataka,0.6
2020-01-04 0:00:00,Wind,Karnataka,0.5
2020-01-04 0:00:00,Coal,Rajasthan,0.654
2020-01-04 0:00:00,Gas,Rajasthan,0.731
2020-01-04 0:00:00,Solar,Rajasthan,0.6
2020-01-04 0:00:00,Wind,Rajasthan,0.5
2020-01-05 0:00:00,Coal,Maharashtra,0.774
2020-01-05 0:00:00,Gas,Maharashtra,0.795
2020-01-05 0:00:00,Solar,Maharashtra,0.6
2020-01-05 0:00:00,Wind,Maharashtra,0.5
2020-01-05 0:00:00,Coal,Gujarat,0.734
2020-01-05 0:00:00,Gas,Gujarat,0.719
2020-01-05 0:00:00,Solar,Gujarat,0.6
2020-01-05 0:00:00,Wind,Gujarat,0.5
2020-01-05 0:00:00,Coal,Tamil Nadu,0.682
2020-01-05 0:00:00,Gas,Tamil Nadu,0.844
2020-01-05 0:00:00,Solar,Tamil Nadu,0.6
2020-01-05 0:00:00,Wind,Tamil Nadu,0.5
2020-01-05 0:00:00,Coal,Karnataka,0.708
2020-01-05 0:00:00,Gas,Karnataka,0.768
2020-01-05 0:00:00,Solar,Karnataka,0.6
2020-01-05 0:00:00,Wind,Karnataka,0.5
2020-01-05 0:00:00,Coal,Rajasthan,0.844
2020-01-05 0:00:00,Gas,Rajasthan,0.747
2020-01-05 0:00:00,Solar,Rajasthan,0.6
2020-01-05 0:00:00,Wind,Rajasthan,0.5
2020-01-06 0:00:00,Coal,Maharashtra,0.664
2020-01-06 0:00:00,Gas,Maharashtra,0.689
2020-01-06 0:00:00,Solar,Maharashtra,0.6
