Date,State,Coal_Price_Index,Gas_Price_Index,Carbon_Price,Spot_Price
2020-01-01 0:00:00,Maharashtra,99.61,135.15,756.99,3888.15
2020-01-01 0:00:00,Gujarat,99.49,137.47,803.8,4403.26
2020-01-01 0:00:00,Tamil Nadu,98.87,133.4,760.35,3974.63
2020-01-01 0:00:00,Karnataka,100.47,133.28,783.69,4007.19
2020-01-01 0:00:00,Rajasthan,99.28,133.85,787.35,4219.51
2020-01-02 0:00:00,Maharashtra,101.04,136.04,789.73,4427.54
2020-01-02 0:00:00,Gujarat,100.3,136.12,763.14,3621.94
2020-01-02 0:00:00,Tamil Nadu,101.18,136.74,766.23,3955.3
2020-01-02 0:00:00,Karnataka,101.78,133.92,804.41,3680.62
2020-01-02 0:00:00,Rajasthan,98.59,132.33,835.5,3887.01
2020-01-03 0:00:00,Maharashtra,100.68,132.78,830.73,4341.37
2020-01-03 0:00:00,Gujarat,98.57,137.42,765.13,3705.61
2020-01-03 0:00:00,Tamil Nadu,98.74,133.68,794.26,3443.19
2020-01-03 0:00:00,Karnataka,99.92,133.28,822.13,3742.34
2020-01-03 0:00:00,Rajasthan,100.8,133.1,754,3800.1
2020-01-04 0:00:00,Maharashtra,102.01,137.88,772.47,3835.83
2020-01-04 0:00:00,Gujarat,98.99,133.52,828.2,3757.47
2020-01-04 0:00:00,Tamil Nadu,98.29,136.46,796.33,4250.43
2020-01-04 0:00:00,Karnataka,101.57,137.71,841.22,3496.95
2020-01-04 0:00:00,Rajasthan,98.35,134.92,779.19,3929.36
2020-01-05 0:00:00,Maharashtra,101.27,134.06,797.67,3469.89
2020-01-05 0:00:00,Gujarat,100.69,133.46,828.69,3567.03
2020-01-05 0:00:00,Tamil Nadu,100.09,134.17,806.61,3879.17
2020-01-05 0:00:00,Karnataka,101.39,133.9,849.12,4444.46
2020-01-05 0:00:00,Rajasthan,99.47,137.76,766.97,4112.3
2020-01-06 0:00:00,Maharashtra,102.06,133.8,761.45,4260.62
2020-01-06 0:00:00,Gujarat,101.71,133.85,831.58,3519.8
2020-01-06 0:00:00,Tamil Nadu,98.49,137.45,785.37,4184.54
2020-01-06 0:00:00,Karnataka,101.07,133.07,831.77,4358.63
2020-01-06 0:00:00,Rajasthan,98.92,137.44,797.55,4446.62
2020-01-07 0:00:00,Maharashtra,102.17,137.72,788.46,4267.66
2020-01-07 0:00:00,Gujarat,99.82,136.59,835.4,4475.33
2020-01-07 0:00:00,Tamil Nadu,99.12,132.28,812.46,3869.03
2020-01-07 0:00:00,Karnataka,101.09,134.95,818.7,4425.35
2020-01-07 0:00:00,Rajasthan,101.79,134.42,778.63,4014.46
2020-01-08 0:00:00,Maharashtra,101.28,136.03,829.75,4304.13
2020-01-08 0:00:00,Gujarat,99.07,134.38,751.98,3895.16
2020-01-08 0:00:00,Tamil Nadu,98.83,133.48,754.79,3873.38
2020-01-08 0:00:00,Karnataka,99.28,134.04,780.17,4363.01
2020-01-08 0:00:00,Rajasthan,98.93,135.97,810.74,3436.81
2020-01-09 0:00:00,Maharashtra,100.51,133.42,776.68,3770.05
2020-01-09 0:00:00,Gujarat,100.95,133.98,764.73,4327.08
2020-01-09 0:00:00,Tamil Nadu,101.81,135.7,768.36,3490.32
