Date,State,Revenue,Fuel_Cost,Carbon_Cost,EBITDA,Debt_Outstanding,Interest_Rate,DSCR
2020-01-01 0:00:00,Maharashtra,100073629.7,75241380.27,11033554.44,13798695.01,800000000,0.08,78.7
2020-01-01 0:00:00,Gujarat,146357905.1,84792282.07,7002096.89,54563526.15,700000000,0.08,355.64
2020-01-01 0:00:00,Tamil Nadu,153587456.9,51007408.55,9388338.79,93191709.59,750000000,0.08,566.92
2020-01-01 0:00:00,Karnataka,140308882.8,69334785.85,8864862.46,62109234.52,600000000,0.08,472.29
2020-01-01 0:00:00,Rajasthan,103811598,58255605.21,7175231.57,38380761.25,500000000,0.08,350.22
2020-01-02 0:00:00,Maharashtra,130818964.8,73158058.46,9714166.03,47946740.34,800000000,0.08,273.45
2020-01-02 0:00:00,Gujarat,146144097.7,58749220.65,11003162.96,76391714.09,700000000,0.08,497.91
2020-01-02 0:00:00,Tamil Nadu,100735020.1,82514567.67,11877283.74,6343168.71,750000000,0.08,38.59
2020-01-02 0:00:00,Karnataka,104019171.2,55318420.45,8044045.16,40656705.6,600000000,0.08,309.16
2020-01-02 0:00:00,Rajasthan,153239097.7,73175059.28,8978503.92,71085534.54,500000000,0.08,648.66
2020-01-03 0:00:00,Maharashtra,113237072.7,55327927.36,9190225.01,48718920.37,800000000,0.08,277.85
2020-01-03 0:00:00,Gujarat,107183763,51203538.08,7684153.13,48296071.76,700000000,0.08,314.79
2020-01-03 0:00:00,Tamil Nadu,132652992.2,51666034.35,9727476.27,71259481.61,750000000,0.08,433.5
2020-01-03 0:00:00,Karnataka,111616890.4,82459262.17,9470085.15,19687543.05,600000000,0.08,149.71
2020-01-03 0:00:00,Rajasthan,132165035.2,70848585.11,11470270.92,49846179.21,500000000,0.08,454.85
2020-01-04 0:00:00,Maharashtra,103417656.8,83146599.13,6979061.59,13291996.06,800000000,0.08,75.81
2020-01-04 0:00:00,Gujarat,116394433.3,80917909.74,11124385.11,24352138.45,700000000,0.08,158.72
2020-01-04 0:00:00,Tamil Nadu,118774984.6,70943494.32,6640953.11,41190537.12,750000000,0.08,250.58
2020-01-04 0:00:00,Karnataka,139271659.1,53523339.09,9753475.88,75994844.12,600000000,0.08,577.88
2020-01-04 0:00:00,Rajasthan,128685934.5,57126888.59,7087930.81,64471115.06,500000000,0.08,588.3
2020-01-05 0:00:00,Maharashtra,107711871,88127482.07,11496771.48,8087617.44,800000000,0.08,46.12
2020-01-05 0:00:00,Gujarat,153422092.8,88877376.02,8160184.56,56384532.18,700000000,0.08,367.51
2020-01-05 0:00:00,Tamil Nadu,136627214.7,63056813.86,8074401.69,65495999.14,750000000,0.08,398.43
2020-01-05 0:00:00,Karnataka,123453288.7,58012962.47,11818912.1,53621414.13,600000000,0.08,407.75
2020-01-05 0:00:00,Rajasthan,122342900.9,67437900.64,10006959.8,44898040.49,500000000,0.08,409.69
2020-01-06 0:00:00,Maharashtra,122000636.8,71559105.16,7388251.94,43053279.7,800000000,0.08,245.54
2020-01-06 0:00:00,Gujarat,138823343.9,77913924.6,11430303.72,49479115.54,700000000,0.08,322.5
2020-01-06 0:00:00,Tamil Nadu,108495915.1,71785876.21,8059926.06,28650112.82,750000000,0.08,174.29
2020-01-06 0:00:00,Karnataka,138502635.1,76883418.59,9439678.87,52179537.64,600000000,0.08,396.78
2020-01-06 0:00:00,Rajasthan,100977272.3,89229013.58,7099883.76,4648374.94,500000000,0.08,42.42
2020-01-07 0:00:00,Maharashtra,118783108.6,70466041.15,10003880.04,38313187.44,800000000,0.08,218.5
2020-01-07 0:00:00,Gujarat,145701351.2,60767719.05,9481490.11,75452142.07,700000000,0.08,491.79
2020-01-07 0:00:00,Tamil Nadu,107803026.8,84033919.17,11857033.3,11912074.29,750000000,0.08,72.47
2020-01-07 0:00:00,Karnataka,145474905.7,50956797.36,9605724.53,84912383.82,600000000,0.08,645.69
2020-01-07 0:00:00,Rajasthan,140567477.8,68837480.71,7852795.12,63877201.96,500000000,0.08,582.88
2020-01-08 0:00:00,Maharashtra,139935619.9,85547671.83,9787558.75,44600389.29,800000000,0.08,254.36
2020-01-08 0:00:00,Gujarat,133618234.2,77465468.56,8011982.33,48140783.3,700000000,0.08,313.77
2020-01-08 0:00:00,Tamil Nadu,105794026.6,77041391.29,11062241.03,17690394.27,750000000,0.08,107.62
2020-01-08 0:00:00,Karnataka,134115850.6,81300208.52,9806414.57,43009227.54,600000000,0.08,327.05
2020-01-08 0:00:00,Rajasthan,137579724,89684863.47,10155767.37,37739093.19,500000000,0.08,344.37
2020-01-09 0:00:00,Maharashtra,134614255.3,64647828.51,7143261.73,62823165.06,800000000,0.08,358.29
2020-01-09 0:00:00,Gujarat,156509108.4,74964639.84,9415019.29,72129449.31,700000000,0.08,470.13
2020-01-09 0:00:00,Tamil Nadu,100943039.8,76288864.47,6796588.56,17857586.78,750000000,0.08,108.63
2020-01-09 0:00:00,Karnataka,150984641.2,62797362.11,6375411.81,81811867.31,600000000,0.08,622.11
2020-01-09 0:00:00,Rajasthan,145134646.9,75842070.89,7534712.84,61757863.13,500000000,0.08,563.54
2020-01-10 0:00:00,Maharashtra,109195882.8,81048214.29,11138599.78,17009068.7,800000000,0.08,97
2020-01-10 0:00:00,Gujarat,129619431.8,76652441.48,6441086.61,46525903.67,700000000,0.08,303.25
2020-01-10 0:00:00,Tamil Nadu,120676210.5,74915117.52,11661939.89,34099153.14,750000000,0.08,207.44
2020-01-10 0:00:00,Karnataka,148054082.7,54827116.74,11266772.64,81960193.34,600000000,0.08,623.24
2020-01-10 0:00:00,Rajasthan,150716913.3,88912206.54,10830630.02,50974076.73,500000000,0.08,465.14
2020-01-11 0:00:00,Maharashtra,101573571.5,82280536.76,10523573.19,8769461.54,800000000,0.08,50.01
2020-01-11 0:00:00,Gujarat,114873334.2,70151489.57,6771381.1,37950463.53,700000000,0.08,247.36
2020-01-11 0:00:00,Tamil Nadu,114827937.2,72443662.38,11034092.7,31350182.15,750000000,0.08,190.71
2020-01-11 0:00:00,Karnataka,140890546.6,55502571.93,10316305.86,75071668.75,600000000,0.08,570.86
2020-01-11 0:00:00,Rajasthan,102003332.9,65906800.6,10182332.75,25914199.54,500000000,0.08,236.47
2020-01-12 0:00:00,Maharashtra,154530917.7,77065329.72,7669341.89,69796246.06,800000000,0.08,398.06
2020-01-12 0:00:00,Gujarat,142153080.7,53834331.19,7736994.76,80581754.79,700000000,0.08,525.22
2020-01-12 0:00:00,Tamil Nadu,103366348.2,52219370.04,10359003.77,40787974.34,750000000,0.08,248.13
2020-01-12 0:00:00,Karnataka,158709409.6,69566093.39,11339028.25,77804287.96,600000000,0.08,591.64
2020-01-12 0:00:00,Rajasthan,105344015.9,84996650.58,10712241.41,9635123.94,500000000,0.08,87.92
2020-01-13 0:00:00,Maharashtra,133161518.8,59017653.21,9902302.09,64241563.47,800000000,0.08,366.38
2020-01-13 0:00:00,Gujarat,144065575.5,88451669.89,11917604.21,43696301.37,700000000,0.08,284.81
2020-01-13 0:00:00,Tamil Nadu,117479971,50786165.46,9942622.12,56751183.46,750000000,0.08,345.24
2020-01-13 0:00:00,Karnataka,147527233.4,86387381.91,7749381.47,53390470.04,600000000,0.08,405.99
2020-01-13 0:00:00,Rajasthan,129281523.1,52155086.32,6244971.92,70881464.82,500000000,0.08,646.79
2020-01-14 0:00:00,Maharashtra,129995755.8,60279693.96,8611325.8,61104736.08,800000000,0.08,348.49
2020-01-14 0:00:00,Gujarat,152844203,68699342.59,10080919.79,74063940.62,700000000,0.08,482.74
2020-01-14 0:00:00,Tamil Nadu,133434769.2,82780445.57,10897012.08,39757311.55,750000000,0.08,241.86
2020-01-14 0:00:00,Karnataka,120255269,64366001.85,9200037.47,46689229.71,600000000,0.08,355.03
2020-01-14 0:00:00,Rajasthan,109972260.6,65700860.52,9920794.54,34350605.54,500000000,0.08,313.45
2020-01-15 0:00:00,Maharashtra,136458958.7,67175572.15,10415898.89,58867487.62,800000000,0.08,335.73
2020-01-15 0:00:00,Gujarat,147994536.1,56452508.58,11588198.46,79953829.05,700000000,0.08,521.13
2020-01-15 0:00:00,Tamil Nadu,102594429.4,83940246.24,7000887.07,11653296.06,750000000,0.08,70.89
2020-01-15 0:00:00,Karnataka,118468834.7,57606178.37,8953863.73,51908792.62,600000000,0.08,394.72
2020-01-15 0:00:00,Rajasthan,149734501.4,53040091.8,6772431.19,89921978.42,500000000,0.08,820.54
2020-01-16 0:00:00,Maharashtra,152064837.3,69349249.01,7995290.09,74720298.22,800000000,0.08,426.14
2020-01-16 0:00:00,Gujarat,149343956.8,74763961.63,10330478.36,64249516.77,700000000,0.08,418.77
2020-01-16 0:00:00,Tamil Nadu,149020900.3,60056525.22,8254169.94,80710205.13,750000000,0.08,490.99
2020-01-16 0:00:00,Karnataka,125178846.6,58708900.55,8030882.52,58439063.53,600000000,0.08,444.38
2020-01-16 0:00:00,Rajasthan,134340238.9,65103786.34,10312363.11,58924089.43,500000000,0.08,537.68
2020-01-17 0:00:00,Maharashtra,126620681.3,64670031.18,10982921.33,50967728.8,800000000,0.08,290.68
2020-01-17 0:00:00,Gujarat,141628404,73890987.42,9472241.67,58265174.85,700000000,0.08,379.76
2020-01-17 0:00:00,Tamil Nadu,117722740.7,50046170.36,6017645.64,61658924.74,750000000,0.08,375.09
2020-01-17 0:00:00,Karnataka,108694148.9,71925177.55,9133889.24,27635082.09,600000000,0.08,210.14
2020-01-17 0:00:00,Rajasthan,107418502.9,84767716.38,11700972.41,10949814.15,500000000,0.08,99.92
